split,repeat,fold,seed,budget,m,method,stage,uniform_J_alpha,J_synthetic_final,source
3,0,3,11,0.3,36,Facility Location,uniform observed subset,0.004559389305115762,,final structured retention evaluation
3,0,3,11,0.3,36,MRDS,uniform observed subset,0.0018874309330938021,7.131800009832912e-07,final structured retention evaluation
3,0,3,11,0.3,36,W2-k-medoids,uniform observed subset,0.007126255698245564,,final structured retention evaluation
4,1,0,23,0.3,36,Facility Location,uniform observed subset,0.004215965433917264,,final structured retention evaluation
4,1,0,23,0.3,36,MRDS,uniform observed subset,0.0017750765838161747,0.0002134700537274728,final structured retention evaluation
4,1,0,23,0.3,36,W2-k-medoids,uniform observed subset,0.004343771507146342,,final structured retention evaluation
5,1,1,23,0.3,36,Facility Location,uniform observed subset,0.0032799288975817313,,final structured retention evaluation
5,1,1,23,0.3,36,MRDS,uniform observed subset,0.0015865592138180503,0.00020852414382611475,final structured retention evaluation
5,1,1,23,0.3,36,W2-k-medoids,uniform observed subset,0.004611983087123112,,final structured retention evaluation
6,1,2,23,0.3,36,Facility Location,uniform observed subset,0.0054484302186340716,,final structured retention evaluation
6,1,2,23,0.3,36,MRDS,uniform observed subset,0.002373210756635085,0.00022024590601643588,final structured retention evaluation
6,1,2,23,0.3,36,W2-k-medoids,uniform observed subset,0.004567113975072476,,final structured retention evaluation
7,1,3,23,0.3,36,Facility Location,uniform observed subset,0.004248710068747966,,final structured retention evaluation
7,1,3,23,0.3,36,MRDS,uniform observed subset,0.0019567622397997507,0.0003833563109987353,final structured retention evaluation
7,1,3,23,0.3,36,W2-k-medoids,uniform observed subset,0.0052577270616757585,,final structured retention evaluation
8,2,0,37,0.3,36,Facility Location,uniform observed subset,0.004952333176245491,,final structured retention evaluation
8,2,0,37,0.3,36,MRDS,uniform observed subset,0.000789043456067696,0.00036741176660045374,final structured retention evaluation
8,2,0,37,0.3,36,W2-k-medoids,uniform observed subset,0.006477795599464369,,final structured retention evaluation
9,2,1,37,0.3,36,Facility Location,uniform observed subset,0.004652105659802218,,final structured retention evaluation
9,2,1,37,0.3,36,MRDS,uniform observed subset,0.0025747624827359484,0.00043181104281987817,final structured retention evaluation
9,2,1,37,0.3,36,W2-k-medoids,uniform observed subset,0.004377933463576988,,final structured retention evaluation
10,2,2,37,0.3,36,Facility Location,uniform observed subset,0.00491419995398336,,final structured retention evaluation
10,2,2,37,0.3,36,MRDS,uniform observed subset,0.002877225182048781,0.00023940021315833643,final structured retention evaluation
10,2,2,37,0.3,36,W2-k-medoids,uniform observed subset,0.004997986703051298,,final structured retention evaluation
11,2,3,37,0.3,36,Facility Location,uniform observed subset,0.0029785887927515605,,final structured retention evaluation
11,2,3,37,0.3,36,MRDS,uniform observed subset,0.002147867774350205,0.00021561520808944387,final structured retention evaluation
11,2,3,37,0.3,36,W2-k-medoids,uniform observed subset,0.0032985362078970406,,final structured retention evaluation
12,3,0,53,0.3,36,Facility Location,uniform observed subset,0.005173820476847965,,final structured retention evaluation
12,3,0,53,0.3,36,MRDS,uniform observed subset,0.0019952858920501285,0.00039793510631045835,final structured retention evaluation
12,3,0,53,0.3,36,W2-k-medoids,uniform observed subset,0.005483432936595862,,final structured retention evaluation
13,3,1,53,0.3,36,Facility Location,uniform observed subset,0.004729538873061138,,final structured retention evaluation
13,3,1,53,0.3,36,MRDS,uniform observed subset,0.0018001614666748149,0.00021202778256116766,final structured retention evaluation
13,3,1,53,0.3,36,W2-k-medoids,uniform observed subset,0.005183393245969515,,final structured retention evaluation
14,3,2,53,0.3,36,Facility Location,uniform observed subset,0.0034608682387284465,,final structured retention evaluation
14,3,2,53,0.3,36,MRDS,uniform observed subset,0.002557700788771995,0.0002188101242089656,final structured retention evaluation
14,3,2,53,0.3,36,W2-k-medoids,uniform observed subset,0.003971000483242653,,final structured retention evaluation
15,3,3,53,0.3,36,Facility Location,uniform observed subset,0.005131845940286216,,final structured retention evaluation
15,3,3,53,0.3,36,MRDS,uniform observed subset,0.002013244712399155,0.00020268347457520763,final structured retention evaluation
15,3,3,53,0.3,36,W2-k-medoids,uniform observed subset,0.005749828900373012,,final structured retention evaluation
16,4,0,71,0.3,36,Facility Location,uniform observed subset,0.004618334462730489,,final structured retention evaluation
16,4,0,71,0.3,36,MRDS,uniform observed subset,0.002318284304077568,0.00023009032932797072,final structured retention evaluation
16,4,0,71,0.3,36,W2-k-medoids,uniform observed subset,0.003324618325135804,,final structured retention evaluation
17,4,1,71,0.3,36,Facility Location,uniform observed subset,0.004383877288143536,,final structured retention evaluation
17,4,1,71,0.3,36,MRDS,uniform observed subset,0.0021155481618707755,0.00019435661664657516,final structured retention evaluation
17,4,1,71,0.3,36,W2-k-medoids,uniform observed subset,0.0061393795057832785,,final structured retention evaluation
18,4,2,71,0.3,36,Facility Location,uniform observed subset,0.0018694858854131577,,final structured retention evaluation
18,4,2,71,0.3,36,MRDS,uniform observed subset,0.0013998277849512028,0.00020280231306443573,final structured retention evaluation
18,4,2,71,0.3,36,W2-k-medoids,uniform observed subset,0.0021250068935141308,,final structured retention evaluation
19,4,3,71,0.3,36,Facility Location,uniform observed subset,0.006231153155990775,,final structured retention evaluation
19,4,3,71,0.3,36,MRDS,uniform observed subset,0.0023261039343126315,0.0004257795961110636,final structured retention evaluation
19,4,3,71,0.3,36,W2-k-medoids,uniform observed subset,0.006880242238650834,,final structured retention evaluation
0,0,0,11,0.4,48,Facility Location,uniform observed subset,0.004181119062597373,,final structured retention evaluation
0,0,0,11,0.4,48,MRDS,uniform observed subset,0.001483345484636744,0.00019637640292331768,final structured retention evaluation
0,0,0,11,0.4,48,W2-k-medoids,uniform observed subset,0.005236991234512431,,final structured retention evaluation
1,0,1,11,0.4,48,Facility Location,uniform observed subset,0.0045689885787380475,,final structured retention evaluation
1,0,1,11,0.4,48,MRDS,uniform observed subset,0.001338862174781783,0.00011675012017779845,final structured retention evaluation
1,0,1,11,0.4,48,W2-k-medoids,uniform observed subset,0.005254098612395404,,final structured retention evaluation
2,0,2,11,0.4,48,Facility Location,uniform observed subset,0.002844503792617627,,final structured retention evaluation
2,0,2,11,0.4,48,MRDS,uniform observed subset,0.0013302394519384086,0.00019417596618509812,final structured retention evaluation
2,0,2,11,0.4,48,W2-k-medoids,uniform observed subset,0.0023920737488989916,,final structured retention evaluation
3,0,3,11,0.4,48,Facility Location,uniform observed subset,0.004613354810266635,,final structured retention evaluation
3,0,3,11,0.4,48,MRDS,uniform observed subset,0.0010394052529910205,1.7286527394138466e-06,final structured retention evaluation
3,0,3,11,0.4,48,W2-k-medoids,uniform observed subset,0.005265783818829085,,final structured retention evaluation
4,1,0,23,0.4,48,Facility Location,uniform observed subset,0.0036980297349966,,final structured retention evaluation
4,1,0,23,0.4,48,MRDS,uniform observed subset,0.0013059759195342734,0.00010685874793966914,final structured retention evaluation
4,1,0,23,0.4,48,W2-k-medoids,uniform observed subset,0.0025964247387067776,,final structured retention evaluation
5,1,1,23,0.4,48,Facility Location,uniform observed subset,0.003634907285143708,,final structured retention evaluation
5,1,1,23,0.4,48,MRDS,uniform observed subset,0.0012065562320456795,0.00010567764501162844,final structured retention evaluation
5,1,1,23,0.4,48,W2-k-medoids,uniform observed subset,0.003700487996188168,,final structured retention evaluation
