split,repeat,fold,seed,feature_set,n_train,n_test,n_train_conditions,n_test_conditions,budget,method,stage,n_selected,weight_mode,balanced_accuracy,macro_f1,auroc,sensitivity,specificity,n_unique_selected_conditions,n_duplicate_condition_slots,max_selected_per_condition
4,1,0,23,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,renyi,0.75,0.7849462365591398,0.7916666666666667,0.5,1.0,10.0,2.0,3.0
4,1,0,23,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,uniform,0.75,0.7849462365591398,0.7916666666666667,0.5,1.0,10.0,2.0,3.0
4,1,0,23,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,voronoi,0.75,0.7849462365591398,0.7916666666666667,0.5,1.0,10.0,2.0,3.0
4,1,0,23,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,renyi,0.75,0.7849462365591398,0.7916666666666667,0.5,1.0,10.0,2.0,3.0
4,1,0,23,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,uniform,0.5,0.4117647058823529,0.5,0.0,1.0,11.0,1.0,2.0
4,1,0,23,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,voronoi,0.5,0.4117647058823529,0.5,0.0,1.0,11.0,1.0,2.0
4,1,0,23,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,renyi,0.5,0.4117647058823529,0.5,0.0,1.0,11.0,1.0,2.0
4,1,0,23,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,uniform,0.75,0.7849462365591398,0.9166666666666667,0.5,1.0,10.0,2.0,2.0
4,1,0,23,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,voronoi,0.875,0.9031476997578692,0.9166666666666667,0.75,1.0,10.0,2.0,2.0
4,1,0,23,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,renyi,0.75,0.7849462365591398,0.9166666666666667,0.5,1.0,10.0,2.0,2.0
4,1,0,23,all40,120,40,30,10,0.1,MRDS projected,initializer,12,uniform,0.5,0.4117647058823529,0.5,0.0,1.0,11.0,1.0,2.0
4,1,0,23,all40,120,40,30,10,0.1,MRDS projected,initializer,12,voronoi,0.5,0.4117647058823529,0.5,0.0,1.0,11.0,1.0,2.0
4,1,0,23,all40,120,40,30,10,0.1,MRDS projected,initializer,12,renyi,0.5,0.4117647058823529,0.5,0.0,1.0,11.0,1.0,2.0
4,1,0,23,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,uniform,0.625,0.6307692307692307,0.6190476190476191,0.25,1.0,11.0,1.0,2.0
4,1,0,23,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,voronoi,0.625,0.6307692307692307,0.6666666666666666,0.25,1.0,11.0,1.0,2.0
4,1,0,23,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,renyi,0.625,0.6307692307692307,0.6190476190476191,0.25,1.0,11.0,1.0,2.0
4,1,0,23,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=W2-KMedoids,12,uniform,0.75,0.7849462365591398,0.9166666666666667,0.5,1.0,10.0,2.0,2.0
4,1,0,23,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=W2-KMedoids,12,voronoi,0.875,0.9031476997578692,0.9166666666666667,0.75,1.0,10.0,2.0,2.0
4,1,0,23,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=W2-KMedoids,12,renyi,0.75,0.7849462365591398,0.9166666666666667,0.5,1.0,10.0,2.0,2.0
5,1,1,23,all40,120,40,30,10,1.0,Full training set,no reduction,120,uniform,1.0,1.0,1.0,1.0,1.0,,,
5,1,1,23,all40,120,40,30,10,0.1,Random,initializer,12,uniform,0.6666666666666666,0.6875,0.6666666666666666,0.3333333333333333,1.0,8.0,4.0,3.0
5,1,1,23,all40,120,40,30,10,0.1,Random,initializer,12,voronoi,0.6666666666666666,0.6875,0.6666666666666666,0.3333333333333333,1.0,8.0,4.0,3.0
5,1,1,23,all40,120,40,30,10,0.1,Random,initializer,12,renyi,0.7797619047619048,0.7864225781845919,0.7797619047619048,0.6666666666666666,0.8928571428571429,8.0,4.0,3.0
5,1,1,23,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,uniform,0.6666666666666666,0.6875,0.6666666666666666,0.3333333333333333,1.0,8.0,4.0,3.0
5,1,1,23,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,voronoi,0.6666666666666666,0.6875,0.6666666666666666,0.3333333333333333,1.0,8.0,4.0,3.0
5,1,1,23,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,renyi,0.5,0.4117647058823529,0.5,0.0,1.0,8.0,4.0,3.0
