split,repeat,fold,seed,feature_set,n_train,n_test,n_train_conditions,n_test_conditions,budget,method,stage,n_selected,n_unique_selected_conditions,n_duplicate_condition_slots,max_selected_per_condition,reduction_fraction,alpha,max_atoms,bandwidth,distance_backend,distance_seconds,m,coverage_mean,coverage_max,renyi_meta,renyi_meta_uniform,renyi_meta_weighted,mmd2,subset_1nn_accuracy,subset_1nn_balanced_accuracy,subset_1nn_macro_f1,class_proportion_l1
9,2,1,37,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,0.9,2.0,8,11.730644906811234,emd_exact,0.35524900001473725,12,5.822075842890653,15.053873183964445,0.027361159017945377,0.027361159017945377,0.006102214601072998,0.07199320976672319,0.9666666666666667,0.95,0.9614890885750962,0.0
9,2,1,37,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=W2-KMedoids,12,7,5,3,0.9,2.0,8,11.730644906811234,emd_exact,0.35524900001473725,12,5.002057159249512,34.2658111317861,0.011032834767593609,0.011032834767593609,0.004223869296674714,0.03994644171983475,0.95,0.95625,0.945054945054945,0.16666666666666663
10,2,2,37,all40,120,40,30,10,0.1,Random,initializer,12,12,0,1,0.9,2.0,8,12.278647461791781,emd_exact,0.3386365000042133,12,18.04625210592047,1157.580140590691,15.11494821507406,15.11494821507406,10.81390312124712,1.5118714096332475,0.975,0.9583333333333333,0.969488939740656,0.2666666666666667
10,2,2,37,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,0.9,2.0,8,12.278647461791781,emd_exact,0.3386365000042133,12,16.63800285398033,1111.008637692378,13.90673559611833,13.90673559611833,9.87415476121449,1.5117263757238641,0.9333333333333333,0.8888888888888888,0.9147727272727273,0.43333333333333335
10,2,2,37,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,9,3,3,0.9,2.0,8,12.278647461791781,emd_exact,0.3386365000042133,12,5.532350491679529,37.52281148631758,0.01465487668421639,0.01465487668421639,0.007285532051988018,0.0642712345234897,0.975,0.9742063492063492,0.9704700188663768,0.06666666666666665
10,2,2,37,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,0.9,2.0,8,12.278647461791781,emd_exact,0.3386365000042133,12,5.659637840374655,37.52281148631758,0.011422843391898632,0.011422843391898632,0.004779277555899148,0.03040652202401284,0.975,0.9742063492063492,0.9704700188663768,0.23333333333333328
10,2,2,37,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,9,3,3,0.9,2.0,8,12.278647461791781,emd_exact,0.3386365000042133,12,5.403804968831427,32.16894605682405,0.017869356612627115,0.017869356612627115,0.008262219297811497,0.08214167481359225,0.975,0.9742063492063492,0.9704700188663768,0.06666666666666665
10,2,2,37,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,0.9,2.0,8,12.278647461791781,emd_exact,0.3386365000042133,12,5.606076391907424,37.59129897043622,0.012876649570551095,0.012876649570551095,0.0045452642721279255,0.032591249304743664,0.925,0.9464285714285714,0.9161425576519916,0.23333333333333328
10,2,2,37,all40,120,40,30,10,0.1,MRDS projected,initializer,12,10,2,2,0.9,2.0,8,12.278647461791781,emd_exact,0.3386365000042133,12,6.991203912999864,14.44603578442003,0.07289443303607254,0.07289443303607254,0.013866705460192592,0.13847620120224435,0.7833333333333333,0.6547619047619048,0.671578947368421,0.06666666666666665
10,2,2,37,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,11,1,2,0.9,2.0,8,12.278647461791781,emd_exact,0.3386365000042133,12,6.448902396070633,25.93081330579689,0.04253364961926824,0.04253364961926824,0.006144681750416869,0.06754751979607121,0.9083333333333333,0.9107142857142857,0.894829097283085,0.23333333333333328
10,2,2,37,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=W2-KMedoids,12,9,3,3,0.9,2.0,8,12.278647461791781,emd_exact,0.3386365000042133,12,5.606076391907424,37.59129897043622,0.012876649570551095,0.012876649570551095,0.0045452642721279255,0.032591249304743664,0.925,0.9464285714285714,0.9161425576519916,0.23333333333333328
11,2,3,37,all40,120,40,30,10,0.1,Random,initializer,12,12,0,1,0.9,2.0,8,11.929518439433743,emd_exact,0.3470970999915153,12,18.954776696324863,1148.359192764265,15.120941708745486,15.120941708745486,14.893549142979444,0.256641764145188,0.9,0.8625,0.8809523809523809,0.16666666666666669
